Coder,Title,Year,Author,Link,C1.1_Time,C1.2_Space,C1.3_Scale,C1.4_Symmetry_role,C1.5_Focus,C1.6_Scenario,C1.7_Display_for_VE,C1.8.1_Task_goal,C1.8.2_Task_outcome,XC1.8.3_Interaction(old),XC1.8.3_Task_desc (will remove),C1.8.3_Intearction_code,C1.8.4_DoF_of_task,(old)C1.8.4_DoF_of_task,C1.8.5_User_rep,C2.1 Coded,C2.1_Haptic_device_(F),C2.2_Off_the_shelf,C2.3.1_Actuation,C2.3.2_Haptic model?,C2.3.3_Installation,C2.4_Location,C2.5.1_Feedback_type ,C2.5.2_DoF_haptic_device_force,(old)C2.5.2_DoF of haptic device (force feedback),C2.5.3_Physical_properties,XC2.5.4_Purpose,C2.5.4_Purpose,C2.6.1_Symmetry_(feedback),C2.6.2_Direction,C2.6.3_From_what,C3.1_Study_motivation_desc,C3.1_Study_motivation,XC3.2_IVs description,XC3.1.2_IVs code(s),C3.2_IV,C3.2.1_Levels,"XC3.3.1_DVs: Performance, behavioral, and continuous measure",C3.3.1_DVs: Code Performance etc,XC3.3.2_DVs: self-reports,C3.3.2_DVs: Code self-reports ,C3.2.2_Is_Haptic_feedback_an_IV_or_constant,C3.4_Hypotheses_description,C3.4.1_Hypotheses_code,XC3.4.2_Are the hypotheses haptic-related?(repeated with 3.4.1),C3.5_Between or within design?,C3.6_Sample_size,C3.6.1_Sample_size_description,XC3.6.2_Grouping method ,XC3.6.3_Users grouped together or with the experimenter,C4.1_Hypothesis supported,Concluding_statement,WJ_CS_code,J_CS_code,C4.2_Benefit_of_using_haptic_feedback_in_CVEs,XBenefit_code,C4.2_Benefit_code,C4.3_Limitation_of_using_haptic_feedback_in_CVEs,XLimitation_code,C4.3_Limitation_code,C4.4_Future_work,XFuture_work_code,C4.4_Future_work_code,XOthers
J,Designing haptic icons to support collaborative turn-taking,2008,"Chan, Andrew and MacLean, Karon and McGrenere, Joanna",https://doi.org/10.1016/j.ijhcs.2007.11.002,Synchronous,Co-located: separated by obstacles,4,Symmetric,Object,Shared workspace,Screen (2DVE),Conflict-resolution,Optimizing,Pointing,-,Pointing,2,2,Pointer, iFeel mouse,Modified logitech iFeel mouse,Off-the-shelf,Vibrotactile,,Mobile,Hand,Vibrotactile,1,1 (vibrotactile),Vibration,Notification,,Symmetric,Bilateral,User,"This paper describes research exploring the use of haptics to support users collaborating remotely in a single-user shared application. [...] We therefore designed a custom turn-taking protocol that allows users to express different levels of urgency in their request for control from a collaborator; state of control and requests are communicated by touch, with the intent of offloading visual attention.",Evaluation: interaction technique,"- Feedback (H/VH/H)
- Layout tasks","- Feedback
- Tasks","Task, Feedback","- Differents tasks
- Haptic, visual, visual+haptic","- Learning effort:
    - Exploration time 
    - Attempts before success
- Collaboration: 
    - Time in control
    - Time waiting for control
    - Number of requests for control
- Task performance","Performance: Score, Efficiency
Behavior: Social interaction",- Feedback preference,Preference,IV,Haptic feedback could play a role in conveying urgency of a user’s desire for control.,Haptic improves performance and experience,Yes,,16,16 participants paired together,Paired,With participants,Yes,"""In summary, we have observed concrete support for our theory that haptic mediation can enhance usability both perceptually and socially, because its use of a different sensory modality than the primary task makes it less disruptive.""",,"Social interaction, Usability","""haptics could help to support non-verbal communication among distributed collaborators.""",Haptic feedback improves collaborative performance and experiences,Alternative communication modality,"""Socially, we have identified issues of perceived intimacy and etiquette which need to be kept in mind when designing interactions in which unassertive users can be more comfortable in requesting control, and domineering users more aware of others’ needs.""",Participants develop dynamic during collaboration,Hard to interpret collaborative dynamics,"""The potential utility of lightweight haptic signals and our urgency-based protocol extends to other categories of distributed collaboration and shared control over resources or a group’s attention, including co-located settings where it can be awkward to get the attention of a dominating participant.""",Tge proposde technique can be used for notification.,Application,
J,Influences of haptic communication on a shared manual task,2011,"Chellali, Amine and Dumas, Cédric and Milleville-Pennel, Isabelle",https://www.sciencedirect.com/science/article/abs/pii/S0953543811000439,Synchronous,Co-located: separated by obstacles,2,Asymmetric,Object,Remote expert,Screen (3DVE),Performance,Optimizing,Object manipulation,,Manipulating object,3,3,Virtual hand(s),Haption Virtuose 6D,Virtuose 6D desktop,Off-the-shelf,Motor,,Grounded,Hand,Kinesthetic,3,3,Force,Guidance,,Asymmetric,Unilateral,User,Our objective is to show that supporting functional haptic interactions in CVE can improve the users' collaborative performance in such tasks.,Study: communication modalities,Feedback (Theoretical/V/V+H),Feedback,Feedback,"- Theorical, visual, visual+haptic","- Performance
    - TCT
    - Final distance to target
    - Number of planning landmarks
    - ...... (tons of measures)","Performance: Time, Score, Efficiency",N/A,N/A,IV,We hypothesize that a CVE that supports different interactions channels helps the partners to exchange more accurate information about their common manual tasks and enhances the collaborative performance.,Haptic improves performance and experience,Yes,,60,60 participants paired with 1 experimenter,Single,With experimenter,Semi,"""The results show that the haptic communication training improves the users’ accuracy when they perform in dyads the shared manual task.""",,Performance,"""the haptic communication training enhanced the users feeling of copresence with the partner in the virtual environment and increased the users’ perception of the system quality.""",Haptic feedback improves collaborative performance and experiences,Improve experience,"""Underexplored"" (?)
N/A",N/A,N/A,"""In future, a deeper verbalization analysis is needed to explore more accurately the development of common ground between partners.""",Explore how collaborators form their common ground.,Collaborators,
J,Performance related energy exchange in haptic human-human interaction in a shared virtual object manipulation task,2009,D. Feth and R. Groten and A. Peer and S. Hirche and M. Buss,https://doi.org/10.1109/WHC.2009.4810854,Synchronous,Co-located,2,Symmetric,Object,Shared workspace,Screen (2DVE),Performance,Optimizing,Object manipulation,-,Steering,1,1,Pointer,Custom,Linear haptic interfaces,Customized,Motor,,Grounded,Hand,Kinesthetic,1,1,Force,Force feedback while co-manipulating,,Symmetric,Bilateral,UI,In this paper the effect of haptic interaction in single and dyadic conditions is investigated.,Study: collaborator,Collaboration: with partner/alone/alone but half effort required,Collaboration,Grouping,"Solo, solo half effort, paired","- Performance  (RMSE, Root Mean Square Error)
- Energy flow between users","Performance: Score, Errors
Behavior: Force applied",N/A,N/A,Constant,"We expect tracking performance to be better in partner
condition than in single condition.",Grouped participants have better performance than when alone,No,,24,24 participants single or paired together,Single OR Paired,With participants,Yes,"""we can confirm our hypothesis that performance is increased in the [grouped] condition.""",,Performance,N/A,N/A,N/A,N/A,N/A,N/A,"""Because interaction in the [grouped] condition was even better than in the [alone/half effort] condition, it is concluded that the improved task performance in dyadic trials is not only a result of force reduction for the individual but different explanations have to be considered.""",Explore the group dynamic during collaboration.,Collaborators,
F,On Multi-Agent Cognitive Cooperation: Can virtual agents behave like humans?,2022,"D’Avella, Salvatore and Camacho-Gonzalez, Gerardo and Tripicchio, Paolo",https://doi.org/10.1016/j.neucom.2022.01.025,Synchronous,Co-located: separated by obstacles,2,Symmetric,Workspace,Telepresence,Screen (3DVE),Decision-making,Optimizing,Navigating,-,Navigating,2,2 (translational),No visual representation,Custom,GRAB interface,Customized,Motor,,Grounded,Hand,Kinesthetic,2,2 rotational and 1 prismatic,Force,showing direction and amplitude of virtual movement,,Symmetric,Unilateral,User,"The paper studies the interaction among two players in a virtual environment that, by means of haptic devices and cognitive collaboration processes, have to escape a maze with complementary information at their disposal to achieve the task.",Study: asymmetric information,Type of visual information,visual feedback,Feedback,"Visual (goal, obstacle)",performance,Performance: Score,Questionnaire sur l'haptique et la stratégie,Haptic experience,Constant,N/A,N/A,N/A,Within,5,10 participants paired together,paired,together,N/A,The experiments demonstrate that a multimodal channel consisting of vision and haptics allows establishing a common frame of reference (CRF) between the two participants for learning how to collaborate to accomplish a shared task.,,Usability,"Haptic feedback supports participants to build a common frame of reference, but the study does not an IV so no comparaison without.",Haptic feedback allows for building a common ground,Common ground,Initial difficulty to understand the role of haptic feedback and how to use the device,Participants need to learn,Learning curve,N/A,N/A,N/A,
F,Assessment of an articulatory interface for tactile intercommunication in immersive virtual environments,2018,"de Jesus Oliveira, Victor Adriel and Nedel, Luciana and Maciel, Anderson",https://doi.org/10.1016/j.cag.2018.07.007,Synchronous,Co-located: separated by obstacles,2,Symmetric,Object,Telepresence,VR,Decision-making,Optimizing,Communication,-,Cummunicating,1,NA,Avatar,Custom,Custom vibrotactile interface (mounted on a HMD),Customized,Linear Resonant Actuator,,Wearable ,Head,Vibrotactile,1,1 (vibrotactile),Touch,communication,,Symmetric,Bilateral,User,The paper designs and assesses a touch user interface that is built on a Head-Mounted Display (HMD) to allow peers to exchange tactile signals in collaborative VR applications.,Evaluation: system,None really specified but tactile gesture can be considered an IV,tactile gesture,"Feedback, Interaction technique (Gesture)","Direction, positive, negative, Near R/L, Far R/L",time completion / Number of activated tactile signal,"Performance: Time
Behavior: Movements",Single Easy Question/Mutual understanding questionnaire/ System Usability Scale (SUS) questionnaire,"Usability, Collaboration",IV,N/A,N/A,N/A,Within,12,24 participants paired together,paired,together,N/A,"Subjects presented high accuracy for interpreting tactile signals and directly applied the knowledge about the vibrotactile vocabulary into its articulation. Our contribution is the design and assessment of an interface made for tactile intercommunication in virtual applications, for close or remote tasks, with or without the assistance of other sensory modalities.",,"Haptic communication, Usability",straightforward mapping between action and sensation (to touch and to be touched) provided an easy way for interlocutors to learn and to apply the tactile communication in the immersive setup.,Haptic feedback allows for building a common ground,Common ground,ok for simple task but could be insufficient in complex task/ latency/ gesture unprecision can change tactile signal/ could not work in noisy or stressfull environment,simplified task,Simplified task,study impact of fatigue/ pressure sensor to enrich tactile communication/ specific audience (visually impaired ...),test with different participants pool,Collaborators,
WJ,Proactive haptic articulation for intercommunication in collaborative virtual environments,2016,"de Jesus Oliveira, Victor and Nedel, Luciana and Maciel, Anderson",https://doi.org/10.1109/3DUI.2016.7460036,Synchronous,Co-located,2,Symmetric,Object,Telepresence,VR,Performance,Optimizing,Object manipulation,Communicate which puzzle to choose by verbal and haptic,Notification,N/A (notification),N/A (notification),Avatar,Custom,Vibrotactile vest,Customized,Vibration motor,,Wearable,Body,Vibrotactile,1,1 (vibrotactile),Vibration,Communicate which puzzle the participant wants to get,,Asymmetric,Bilateral,User,This paper studies how haptic feedback can establish a new communication chanel to in a collaborative puzzle task.,Study: communication modalities,Communication verbal or with tactile cue,With or without tactile feedback,Feedback ,"Haptic, no haptic",Completion time and performance,"Performance: Time, Score",NA,N/A,IV,Haptic feedback can be a medium for communication as verbal.,Haptic improves performance and experience,Yes,,15,30 participants paired together,Paired,With participants,Yes,Participants adapted the vocabulary of haptic feedback in their communication during the collaborative task.,,"Usability, Haptic communication",Haptic is an other way of communication,Haptic feedback can be an alternative for communication,Alternative communication modality,N/A,N/A,N/A,The paper wants to verify whether the changes in the vocabulary can converge towards a new final dialect during long conversations using tactile feedback.,Explore how collaborators form their common ground.,Collaborators,
F,Usage of tactile feedback to assist cooperative object manipulations in virtual environments,2017,"de Oliveira, Thomas and Pinho, Márcio",https://doi.org/10.1109/SMC.2017.8122976,Synchronous,Co-located,2,Symmetric,Workspace,Shared workspace,VR,Performance ,Optimizing,Object manipulation,-,Manipulating object,1,1,Pointer,Custom,custom vibration device,Customized,Vibration motor,,Wearable ,Fingertip,Vibrotactile,1,1 (vibrotactile),Touch,notification,,Symmetric,Unilateral,User,The paper evaluates the usage of tactile feedback to aid cooperative object manipulation using the SkeweR technique.,Evaluation: interaction technique,"type of feedback  (visual, haptic, none)",type of feedback,Feedback,"None, visual, tactile","time spent to finish each trial;
• number of times the hand position has been moved
away from the crushing point;
• the amount of time that the hand position remained
separated from the crushing point;
• the average distance between the crushing point and
the hand position;
• the number of collisions between the manipulated
object and the obstacles.","Performance: Time, Precision, Errors",NA,N/A,IV,N/A,N/A,N/A,Within,21,42 participants paired together,paired,together,N/A,"the use of visual or However, once the Apart event happens, the tactile
feedback showed itself as the most effective way to keep the
distance small, and to reduce the time of this event.
tactile feedback makes no significant difference on task
completion time. ",,Performance,Tactile feedback more efficient than visual feedback to reduce the distance between crushing point and virtual representation,Efficiency,Improve performance,Physic discomfort of wearing vibration device/ hard to interpret the vibration intensity/,Participants need to learn,Learning curve,"add a penalty for the users
when they collide the shared object against an obstacle or the
wire.",Improve the expressiveness of haptic feedback,Increase the haptic resolution,
J,Mentor-Guided Learning in Immersive Virtual Environments: The Impact of Visual and Haptic Feedback on Skill Acquisition,2025,F. Lebrun and C. Simon and A. Boukezzi and S. Otmane and A. Chellali,https://doi.org/10.1109/TVCG.2025.3549547,Synchronous,Co-located: separated by obstacles,2,Asymmetric,Object,Remote expert,VR and screen (3DVE),Performance,Optimizing,Pointing/Object manipulation,"Our experimental task consists of following a reference path from start to finish using a drawing instrument while adjusting the visualization tool to display the optimal view of obstacles along the trajectory, ensuring they are avoided.",Steering,2,2,Virtual hand(s),3D Systems Geomagic Touch,3D Systems Geomagic Touch,Off-the-shelf,Motor,,Grounded,Hand,Kinesthetic,3,3 (constrainted to 2 translational),Force,Guidance,,Asymmetric,Unilateral,User,The main contribution of this work is to investigate the effectiveness of augmented feedback in an immersive CVE for transferring technical skills from an expert to a learner.,Study: communication modalities,Feedback (V/V+H),Feedback,Feedback,"Haptic, no haptic","- Performance
    - Number of crossed obstacles
    - Quality of trajectory
    - TCT","Performance: Time, Score, Precision","- Mental workload (NASA-TLX)
- Quality of collaboration quest (Copresence, Social presence, perceived collaboration...)","Workload, Collaboration, Presence, Social presence",IV,"H1. The augmented feedback (either uni or multimodal) received during the training improves the participants’ learning curve in terms of performance measures compared to the control group.
H2. The multimodal augmented feedback (visual-haptic) received during the training improves the participants’ learning curve in terms of performance measures compared to the unimodal (visual-only) augmented feedback.
H3. The augmented feedback (either uni or multimodal) received during the training decreases the participants’ perceived mental workload during the training phase compared to the control group.
H4. The multimodal augmented feedback (visual-haptic) received during the training decreases the participants’ perceived mental workload during the training phase compared to the uni-modal (visual-only) augmented feedback.
H5. The multimodal augmented feedback (visual-haptic) received during the training improves the perceived quality of collaboration between the participants and the instructor during the training phase compared to the uni-modal (visual-only) augmented feed- back.
H6. The improvement in performance between the pre- and post-tests is higher for the augmented feedback (either uni or multimodal) groups compared to the control group.
H7. The improvement in performance between the pre- and post-tests is higher for the multimodal augmented feedback (visual-haptic) group compared to the uni-modal (visual-only) augmented feedback group.",Haptic improves performance and experience,Yes,,27,27 participants paired with 1 experimenter,Single,With experimenter,Semi,"""This study evaluated the impact of visual and visual-haptic feedback on the transfer of motor information during tool manipulation in a bimanual task within a collaborative virtual environment. The findings highlight the effectiveness of augmented feedback in enhancing motor performance and learning.""",,"Performance, Learning","""While visual-haptic feedback did not improve trajectory quality or obstacle avoidance, it significantly reduced cognitive load and enhanced learners’ perceived collaboration with the expert.""",Haptic feedback improves collaborative performance and experiences,Improve performance and experience,"""the impact of such feedback and the different modalities used to communicate it remain underexplored in immersive virtual environments (IVE).""",How participants reach the common ground?,Hard to interpret collaborative dynamics,"- ""One interesting question for future work is the generalization of these results into augmented reality (AR) applications.""
- ""it would [also] be crucial to explore how these modalities affect not only learners but also instructors, by evaluating how technology can facilitate the effective transmission of skills.""","how to teach?, extend to AR",Collaborators,
F,Haptic Designation Tool to Improve Working Strategy in Collaborative Virtual Environment,2015,"Girard, Adrien and Ammi, Mehdi",https://doi.org/10.1109/SMC.2015.235,Synchronous,Co-located,3,Asymmetric,Object,Shared workspace,Screen (3DVE),Performance,Optimizing,Object manipulation,-,Manipulating object,3,3,Pointer,3D Systems Geomagic Touch,3D Systems Geomagic Touch,Off-the-shelf,inertial harmonic drive,,Grounded,Hand,Kinesthetic,3,3 (translational),Force,Notification,,Asymmetric,Unilateral and Bilateral,User,The paper evaluates a haptic tool for the designation of targets  in a context of collaborative molecular design where one user designates tasks and coordinates the actions of two operators.,Evaluation: interaction technique,type of feedback ,type of feedback,Feedback,"Visual, haptic, haptic+visual",time completion/frequency of control request/task performance,"Performance: Time, Score
Behavior: Social interaction","Likert-scale and open-ended questions, and requested
participants to rank the conditions in order of preference.",Preference,IV,"H1. haptic feedback could play a role in conveying urgency of a user’s desire for control.
H2. haptic icons could be learned to a high degree of accuracy in under 3 min and remained identifiable even under significant cognitive workload",Haptic improves performance and experience,Yes,Within,10,30 participants paired together,paired (4 by 4),together,Yes,"The set of haptic icons developed was
usable, learned within 3 min and identified under workload
with 95% accuracy. In application simulation, users
utilized and responded to the icons appropriately, and task
performance was unaffected in this relatively brief task. Haptic
mediation appears to influence collaborative style, with
increased control turnover and more equitable time-in-
control. Users prefer multimodal feedback",,"Performance, Haptic communication",Non intrusive communication/express different level of urgency/more fluid collaboration and less frustrating/,Haptic feedback improves collaborative performance and experiences,Improve performance and experience,"limited capacity of off-the-shelf devices (frequency, maplitude, variations). subjective meaning of haptic interaction (is it urgent or not ?). ",not enough features for off-the-shelf haptic device. Haptic interaction is difficult to intepret.,Insufficient haptic resolution,"Possible applications include meeting floor control, team document editing and design reviews, air controller. This deployment of haptic icons can also serve as an indicator of their potential use in non-collaborative situations such as computer-user
communication, where issues like graded levels of interruption and assignment of meaning to background signals also apply.",Testing the system in different applications.,Application,
J,Improvement of collaborative selection in 3D complex environments,2012,"Girard, Adrien and Ammi, Mehdi and Simard, Jean and Auvray, Malika",https://doi.org/10.1109/HAPTIC.2012.6183803,Synchronous,Co-located,3,Asymmetric,Object,Shared workspace,Screen (3DVE),Performance,Optimizing,"Pointing/Object manipulation, (next to each other, same screen/not allowed to speak or gesture)",-,Manipulating object,3,3,Pointer,3D Systems Geomagic Touch,3D Systems Geomagic Touch,Off-the-shelf,Motor,,Grounded,Hand,Kinesthetic,3,3 (translational),Force,Guidance,,Asymmetric OR Symmetric,Unilateral and Bilateral,"User, UI","Our work proposes to extend the use of haptic communication functions to 3D environments (i.e., molecular manipulation) presenting different communication constraints (e.g., distance, complexity of the environment).",Evaluation: interaction technique,"- Coordination strategy (1 coordinator or self-management)
- Complexity of task","- Guidance strategy
- Tasks","Task, Guidance","- Task complexity
- Coordinator, self-management","- Performance
    - TCT
    - Score
- Behavioral
    - Distance crossed
    - Manipulation distance
    - Manipulation time
    - Inactivity time
    - Average movement speed
    - Manipulation speed
    - Manipulation frequency","Performance: Time, Score, Efficiency
Behavior: Movements, Position, Object manipulation","- Perceived efficiency
- Perceived conflicts
- Preference","Performance, Collaboration, Preference",Constant,"H1. The collaborative metaphor will improve the collaborative selection of the same ROI for the redundant working strategy.
H2. The collaborative metaphor will improve the collaborative selection of different ROI for the complementary working strategy.
H3. The learning and understanding of the molecular environment is quicker with the collaborative metaphor.",Haptic improves performance and experience,No,,16,32 participants paired together,Paired,Together,Semi,"""The experimental results show that the combination of the haptic designation tool and the coordinator-operator working strategy improves the working efficiency and enables a better sharing of the activity between partners.""",,"Performance, Haptic communication","""we observe that the haptic guidance enables an accurate selection of targets which leads to an improvement of performance during the deformation process.""",Haptic feedback improves collaborative performance and experiences,Improve performance,N/A,N/A,N/A,"""Beyond the designation of targets, it would be interesting in future research to investigate collaborative tools for other kind of tasks.""",Explore in different types of task,Application,
WJ,Collaborative metaphor for haptic designation in complex 3D environments,2014,"Girard, Adrien and Auvray, Malika and Ammi, Mehdi",https://doi.org/10.1145/2628257.2628262,Synchronous,Co-located,2,Asymmetric,Object,Shared workspace,Screen (3DVE),Performance,Maximizing,Object manipulation: pointing,Deform molecules,Manipulating object,3,3 (translational),Pointer,3D Systems Geomagic Touch,3D Systems Geomagic Touch,Off-the-shelf,Motor actuation,,Grounded,Hand,Kinesthetic,3,3 (translational),Force,Guidance,,Asymmetric,Unilateral and Bilateral,User,The paper presents a haptic guidance method to help a collaborator focus on a region of interest in CVE.,Evaluation: interaction technique,"With or without haptic (Visual versus Visual+Haptic), Molecule complexity","Feedback, Molecule complexity","Feedback, Task","- Haptic, no haptic
- Task complexity","Time completion, reaction time, performance, reaction speed","Performance: Time, Score",did haptic feedback improve your efficiency/reactivity,Haptic experience,IV,"H1. The haptic component of the metaphor reduces the global completion
time of the task.
H2. The haptic component of the metaphor reduces the reaction
time of the operator.
H3. The haptic component of the metaphor is more useful for tasks
involving numerous manipulations than tasks involving only
few manipulations.",Haptic improves performance and experience,Yes,,12,24 participants paired together,Paired,With participants,Semi,The results revealed the crucial role of the collaborative metaphor for an efficient and accurate designation of targets during the deformation procedure.,,"Performance, Haptic communication",The collaborative haptic metaphor improve efficiency and accuracy without impacting completion time,Haptic feedback improves collaborative performance and experiences,Improve performance,N/A,N/A,N/A,The paper will study the role of the collaborative metaphor in the improvement of performance of tasks requiring the selection and the deformation of far regions.,Test the technique in different tasks.,Application,
F,Efficiency analysis in a collaborative task with reciprocal haptic feedback,2009,"Groten, Raphaela and Feth, Daniela and Peer, Angelika and Buss, Martin and Klatzky, Roberta",https://doi.org/10.1109/iros.2009.5354612,Synchronous,Co-located,2,Symmetric,Workspace,Telepresence,Screen (2DVE),Performance,Optimizing,Navigating,-,Steering,2,2,Pointer,Custom,custom made,Customized,Motor,,Grounded,Hand,Kinesthetic,1,1 (translational),Force,guidance,,Symmetric,Bilateral,User,"The study compares efficiency in a collaborative mutual haptic feedback condition to three control conditions, where participants either acted alone or collaboratively without haptic feedback from the partner.",Study: collaborator,with haptic feedback from the partner and 3 control condition,Partner haptic feedback,"Feedback, Grouping","Visual-haptic (with partner), visual (with partner), full-mass (alone), half-mass (alone)",performance/effort/efficiency,"Performance: Score, Efficiency, Effort",NA,N/A,IV,N/A,N/A,N/A,,24,24 participants paired together,paired,together,N/A,"The mutual haptic feedback condition required more effort
on a dyadic level than the vision feedback condition. herefore, hap-
tic feedback cannot be considered efficient in the present
interaction task. Compared to doing the task alone with
full mass, the vision-only interactive condition led to in-
creased efficiency. haptic feedback might not
always be of advantage. This is especially true when taking
into account the challenges from the engineering perspective.
However, haptic feedback leads to a fairer effort distribution
between the partners within a dyad compared to a vision-
only condition. ",,"Performance, Haptic communication",haptic feedback leads to a fairer effort distribution between the partners within a dyad compared to a vision-only condition. ,Haptic feedback improves collaborative performance and experiences,Improve performance,"high variability in efficiency when haptic feedback is given, due to the different amount of interactive forces per dyad, leads to the conclusion that haptic feedback might not always be of advantage. The mutual haptic feedback condition required more effort on a dyadic level than the vision feedback condition. This is because the partners apply interactive forces in addition to the forces necessary to move the object.",Participants need to learn the haptic collaboration. ,Learning curve,"In future, we will analyze more complex collaborative tasks, based on the assumption that with a higher need for communication between partners haptic feedback will lead to increased efficiency due to this feedback channel. Furthermore, we will investigate the forces exchanged between partners (especially interactive forces) over time to get further insights into haptic collaboration",Extend to complex tasks. Explore how collaborators reach a common ground.,More complex task,
F,"Exploring audio, visual, and tactile cues for synchronous remote assistance",2018,"Günther, Sebastian and Kratz, Sven and Avrahami, Daniel and Mühlhäuser, Max",https://doi.org/10.1145/3197768.3201568,Synchronous,Remote: different rooms,2,Asymmetric,Object,Remote expert,AR,Decision-making,Optimizing,Object manipulation,-,Cummunicating,1,NA,Real body,Custom,Custom tactile gloves (vibration),Customized,Vibration motor,,Wearable ,Hand,Vibrotactile,1,1 (vibrotactile),Vibration,Guidance,,Asymmetric,Unilateral,User,"The study explored different communication modalities (audio,visual and haptic) for remote assistance (remote expert guiding a local guy).",Study: communication modalities,"type of feedback (visual, audio, haptic",type of feedback,Feedback,"voice-communication only, audio signals, augmented labels, and tactile feedback",Task Completion Time,Performance: Time,"Intermediate questionnaire ( Likert scale for the subjective ability to
solve the task, the communication simplicity, and the effectiveness
and distraction of the supporting cue, each side rated their counterpart. This included the helpful-
ness of the other person, and how effective or disruptive they had
been) and final questionnaire (  rank each
condition by their perceived effectiveness, disturbance and their
overall rating)","Performance, Haptic experience, Collaboration, Preference",IV,N/A,N/A,N/A,Within,4,8 participants paired together,paired,together,N/A,"While visual cues in form of augmented labels improved their
communication by identifying objects faster while reducing the
number of spoken words, participants thought that tactile and audio
cues are interesting concepts improving communication but need to
be more precise",,"Performance, Haptic communication",Tactile cue are intersting for their novelty and could be useful but in addition of other cues.,Haptic feedback can be an alternative for communication,Alternative communication modality,mixed reception of haptic TCT lower than other cues. lack precision and not really clear guidance,lack of precision,Insufficient haptic resolution,"we want to elaborate how isolated cues can be further improved, especially in more realistic scenarios, such as a car-repair with noisy environments. Therefore, we also want to find out how other constraints affect the team work through additional communication regulations and rules. Further, we want to explore how combinations of multiple cues assist during collaborative tasks and how a system can select cues depending on the context of a task.",Test HC in more ecological setup,More ecological setup,
F,User's behaviours in a collaborative task - real vs. virtual environments,2016,H. H. Le and M. J. Loomes and R. C. V. Loureiro,https://doi.org/10.1109/BIOROB.2016.7523745,Synchronous,Co-located,2,Symmetric,Object,Shared experience,Screen (3DVE),Performance,Optimizing,Object manipulation,-,Manipulating object,3,3,Pointer,3D Systems Geomagic Touch,Phantom Omni,Off-the-shelf,Motor,,Grounded,Hand,Kinesthetic,3,3,Force,Force feedback while co-manipulating,,Symmetric,Bilateral,Virtual object,The paper investigates how different environments (real vs. virtual) and communication modalities (with vs. without talking to each other) affect the quality of interaction between humans,Study: communication modalities,Real environment or VR and with or without verbal communication,Real/virtual verbal/non verbal,Feedback,with/without Verbal,Force/position/TCT/Galvanic skin response/Total Cost (global effort to complete the task),"Performance: Time, Effort
Behavior: Physical response, Force applied, Position",Intrinsic Motivation Inventory,Motivation,Constant,"H1. The coordinated strategy improves the overall performance.
H2. The coordinated strategy improves the working efficiency.
H3. The coordinated strategy distributes the workload more evenly between the participants.",Haptic improves performance and experience,No,Within,12,24 participants paired together,paired,together,Semi,"participants were more engaged
doing the collaborative task in the virtual environment using
haptic devices even though it was more difficult and
required them to put more effort than doing the same task in
the real world.",,"Social presence, Performance, Affect",Haptic interface render the experience more fun,Enhance experience,Improve experience,Task easier in real world than VR maybe because of haptic interaction,VE lacks haptic,N/A,"investigate the difference in terms of performance and engagement between virtual and real environments for different types of group interaction in motor learning, such as a cooperation task (users have different roles) and a completion task (users have different goals).",Explore different collaboration paradigm,Collaborators,
F,Haptic Cooperative Virtual Workspace: Architecture and evaluation,2000,"Halabi, Osama and Horiguchi, S.",https://doi.org/10.1007/bf01409421,Synchronous,Co-located,2,Symmetric,Object,Shared experience,Screen (3DVE),Performance,Optimizing,Object manipulation,-,Social touch,3,3,Pointer,3D Systems Geomagic Touch,PHANTOM,Off-the-shelf,Motor,,Grounded,Hand,Kinesthetic,3,3 (translational),Force,Force feedback while co-manipulating,,Symmetric,Bilateral,Virtual object,Validation of an architecture for an haptic cooperative workspace where the participants can kinestheticaily interact.,Evaluation: system,Single user or collaborative for the task,Single/collaboration,Grouping,"Solo, Paired","Contact forces (mean, maximum, standard deviation).
task completion time, error rate
","Performance: Time, Errors
Behavior: Force applied",NA,N/A,Constant,N/A,N/A,N/A,,2,2 participants paired together,paired,together,N/A,"Using the proposed architecture, the system in cooperative mode provided up to 66% of the feeling that was produced by the single mode system",,Usability,N/A,N/A,N/A,N/A,N/A,N/A,Providing an evaluation approach for haptic systems will enable us to investigate the factors that increase the performance of the simulation independently and allow us to classify the haptic systems according to specific haptic devices and the nature of the tasks undertaken.,The need to evaluate haptic systems.,Measurement,
