Title,Year,Author,Link,C1.1_Time,C1.2_Space,C1.3_Scale,C1.4_Symmetry_role,C1.5_Focus,C1.6_Scenario,C1.7_Display_for_VE,C1.8.1_Task_goal,C1.8.2_Task_outcome,C1.8.3_Intearction_code,C1.8.4_DoF_of_task,C1.8.5_User_rep,C2.1_Haptic_device_(F),C2.2_Off_the_shelf,C2.3.3_Installation,C2.4_Location,C2.5.1_Feedback_type ,C2.5.2_DoF_haptic_device_force,C2.5.3_Physical_properties,C2.6.1_Symmetry_(feedback),C2.6.2_Direction,C2.6.3_From_what,C3.1_Study_motivation_desc,C3.1_Study_motivation,C3.2_IV,C3.2.1_Levels,C3.3.1_DVs: Code Performance etc,C3.3.2_DVs: Code self-reports ,C3.2.2_Is_Haptic_feedback_an_IV_or_constant,C3.4_Hypotheses_description,C3.4.1_Hypotheses_code,C3.5_Between or within design?,C3.6_Sample_size,C3.6.1_Sample_size_description,C4.1_Hypothesis supported,Concluding statement,CS code,C4.2_Benefit of using haptic feedback in CVEs,Benefit_code,C4.3_Limitation of using haptic feedback in CVEs,Limitation_code,C4.4_Future work,Future_work_code
Designing haptic icons to support collaborative turn-taking,2008,"Chan, Andrew and MacLean, Karon and McGrenere, Joanna",https://doi.org/10.1016/j.ijhcs.2007.11.002,Synchronous,Co-located: separated by obstacles,4,Symmetric,Object,Shared workspace,Screen (2DVE),Conflict-resolution,Optimizing,Pointing,2,Pointer,Modified logitech iFeel mouse,Customized,Mobile,Hand,Vibrotactile,1,Vibration,Symmetric,Bilateral,User,"This paper describes research exploring the use of haptics to support users collaborating remotely in a single-user shared application. [...] We therefore designed a custom turn-taking protocol that allows users to express different levels of urgency in their request for control from a collaborator; state of control and requests are communicated by touch, with the intent of offloading visual attention.",Evaluation: interaction technique,"Task, Feedback",#NAME?,"Performance: Score, Efficiency
Behavior: Social interaction",Preference,IV,Haptic feedback could play a role in conveying urgency of a user’s desire for control.,#NAME?,,16,16 participants paired together,Yes,"""In summary, we have observed concrete support for our theory that haptic mediation can enhance usability both perceptually and socially, because its use of a different sensory modality than the primary task makes it less disruptive.""","Social interaction, Usability","""haptics could help to support non-verbal communication among distributed collaborators.""",Haptic feedback improves collaborative performance and experiences,"""Socially, we have identified issues of perceived intimacy and etiquette which need to be kept in mind when designing interactions in which unassertive users can be more comfortable in requesting control, and domineering users more aware of others’ needs.""",Participants develop dynamic during collaboration,"""The potential utility of lightweight haptic signals and our urgency-based protocol extends to other categories of distributed collaboration and shared control over resources or a group’s attention, including co-located settings where it can be awkward to get the attention of a dominating participant.""",Tge proposde technique can be used for notification.
Influences of haptic communication on a shared manual task,2011,"Chellali, Amine and Dumas, Cédric and Milleville-Pennel, Isabelle",https://www.sciencedirect.com/science/article/abs/pii/S0953543811000439,Synchronous,Co-located: separated by obstacles,2,Asymmetric,Object,Remote expert,Screen (3DVE),Performance,Optimizing,Manipulating object,3,Virtual hand(s),Virtuose 6D desktop arms,Off-the-shelf,Grounded,Hand,Kinesthetic,3,Force,Asymmetric,Unilateral,User,Our objective is to show that supporting functional haptic interactions in CVE can improve the users' collaborative performance in such tasks.,Study: communication modalities,Feedback,#NAME?,"Performance: Time, Score, Efficiency",N/A,IV,We hypothesize that a CVE that supports different interactions channels helps the partners to exchange more accurate information about their common manual tasks and enhances the collaborative performance.,#NAME?,,60,60 participants paired with 1 experimenter,Semi,"""The results show that the haptic communication training improves the users’ accuracy when they perform in dyads the shared manual task.""",Performance,"""the haptic communication training enhanced the users feeling of copresence with the partner in the virtual environment and increased the users’ perception of the system quality.""",Haptic feedback improves collaborative performance and experiences,"""Underexplored"" (?)
N/A",N/A,"""In future, a deeper verbalization analysis is needed to explore more accurately the development of common ground between partners.""",Explore how collaborators form their common ground.
Performance related energy exchange in haptic human-human interaction in a shared virtual object manipulation task,2009,D. Feth and R. Groten and A. Peer and S. Hirche and M. Buss,https://doi.org/10.1109/WHC.2009.4810854,Synchronous,Co-located,2,Symmetric,Object,Shared workspace,Screen (2DVE),Performance,Optimizing,Steering,1,Pointer,Linear haptic interfaces,Customized,Grounded,Hand,Kinesthetic,1,Force,Symmetric,Bilateral,UI,In this paper the effect of haptic interaction in single and dyadic conditions is investigated.,Study: collaborator,Grouping,"Solo, solo half effort, paired","Performance: Score, Errors
Behavior: Force applied",N/A,Constant,"We expect tracking performance to be better in partner
condition than in single condition.",#NAME?,,24,24 participants single or paired together,Yes,"""we can confirm our hypothesis that performance is increased in the [grouped] condition.""",Performance,N/A,N/A,N/A,N/A,"""Because interaction in the [grouped] condition was even better than in the [alone/half effort] condition, it is concluded that the improved task performance in dyadic trials is not only a result of force reduction for the individual but different explanations have to be considered.""",Explore the group dynamic during collaboration.
On Multi-Agent Cognitive Cooperation: Can virtual agents behave like humans?,2022,"D’Avella, Salvatore and Camacho-Gonzalez, Gerardo and Tripicchio, Paolo",https://doi.org/10.1016/j.neucom.2022.01.025,Synchronous,Co-located: separated by obstacles,2,Symmetric,Workspace,Telepresence,Screen (3DVE),Decision-making,Optimizing,Navigating,2,No visual representation,GRAB interface,Customized,Grounded,Hand,Kinesthetic,2,Force,Symmetric,Unilateral,User,"The paper studies the interaction among two players in a virtual environment that, by means of haptic devices and cognitive collaboration processes, have to escape a maze with complementary information at their disposal to achieve the task.",Study: asymmetric information,Feedback,"Visual (goal, obstacle)",Performance: Score,Haptic experience,Constant,N/A,N/A,Within,5,10 participants paired together,N/A,The experiments demonstrate that a multimodal channel consisting of vision and haptics allows establishing a common frame of reference (CRF) between the two participants for learning how to collaborate to accomplish a shared task.,Usability,"Haptic feedback supports participants to build a common frame of reference, but the study does not an IV so no comparaison without.",Haptic feedback allows for building a common ground,Initial difficulty to understand the role of haptic feedback and how to use the device,Participants need to learn,N/A,N/A
Assessment of an articulatory interface for tactile intercommunication in immersive virtual environments,2018,"de Jesus Oliveira, Victor Adriel and Nedel, Luciana and Maciel, Anderson",https://doi.org/10.1016/j.cag.2018.07.007,Synchronous,Co-located: separated by obstacles,2,Symmetric,Object,Telepresence,VR,Decision-making,Optimizing,Cummunicating,1,Avatar,Custom vibrotactile interface (mounted on a HMD),Customized,Wearable ,Head,Vibrotactile,1,Touch,Symmetric,Bilateral,User,The paper designs and assesses a touch user interface that is built on a Head-Mounted Display (HMD) to allow peers to exchange tactile signals in collaborative VR applications.,Evaluation: system,"Feedback, Interaction technique (Gesture)","Direction, positive, negative, Near R/L, Far R/L","Performance: Time
Behavior: Movements","Usability, Collaboration",IV,N/A,N/A,Within,12,24 participants paired together,N/A,"Subjects presented high accuracy for interpreting tactile signals and directly applied the knowledge about the vibrotactile vocabulary into its articulation. Our contribution is the design and assessment of an interface made for tactile intercommunication in virtual applications, for close or remote tasks, with or without the assistance of other sensory modalities.","Haptic communication, Usability",straightforward mapping between action and sensation (to touch and to be touched) provided an easy way for interlocutors to learn and to apply the tactile communication in the immersive setup.,Haptic feedback allows for building a common ground,ok for simple task but could be insufficient in complex task/ latency/ gesture unprecision can change tactile signal/ could not work in noisy or stressfull environment,simplified task,study impact of fatigue/ pressure sensor to enrich tactile communication/ specific audience (visually impaired ...),test with different participants pool
Proactive haptic articulation for intercommunication in collaborative virtual environments,2016,"de Jesus Oliveira, Victor and Nedel, Luciana and Maciel, Anderson",https://doi.org/10.1109/3DUI.2016.7460036,Synchronous,Co-located,2,Symmetric,Object,Telepresence,VR,Performance,Optimizing,Notification,N/A (notification),Avatar,Vibrotactile vest,Customized,Wearable,Body,Vibrotactile,1,Vibration,Asymmetric,Bilateral,User,This paper studies how haptic feedback can establish a new communication chanel to in a collaborative puzzle task.,Study: communication modalities,Feedback ,"Haptic, no haptic","Performance: Time, Score",N/A,IV,Haptic feedback can be a medium for communication as verbal.,Haptic communication,,15,30 participants paired together,Yes,Participants adapted the vocabulary of haptic feedback in their communication during the collaborative task.,"Usability, Haptic communication",Haptic is an other way of communication,Haptic feedback can be an alternative for communication,N/A,N/A,The paper wants to verify whether the changes in the vocabulary can converge towards a new final dialect during long conversations using tactile feedback.,Explore how collaborators form their common ground.
Usage of tactile feedback to assist cooperative object manipulations in virtual environments,2017,"de Oliveira, Thomas and Pinho, Márcio",https://doi.org/10.1109/SMC.2017.8122976,Synchronous,Co-located,2,Symmetric,Workspace,Shared workspace,VR,Performance ,Optimizing,Manipulating object,1,Pointer,custom vibration device,Customized,Wearable ,Fingertip,Vibrotactile,1,Touch,Symmetric,Unilateral,User,The paper evaluates the usage of tactile feedback to aid cooperative object manipulation using the SkeweR technique.,Evaluation: interaction technique,Feedback,"None, visual, tactile","Performance: Time, Precision, Errors",N/A,IV,N/A,N/A,Within,21,42 participants paired together,N/A,"the use of visual or However, once the Apart event happens, the tactile
feedback showed itself as the most effective way to keep the
distance small, and to reduce the time of this event.
tactile feedback makes no significant difference on task
completion time. ",Performance,Tactile feedback more efficient than visual feedback to reduce the distance between crushing point and virtual representation,Efficiency,Physic discomfort of wearing vibration device/ hard to interpret the vibration intensity/,Participants need to learn,"add a penalty for the users
when they collide the shared object against an obstacle or the
wire.",Improve the expressiveness of haptic feedback
Mentor-Guided Learning in Immersive Virtual Environments: The Impact of Visual and Haptic Feedback on Skill Acquisition,2025,F. Lebrun and C. Simon and A. Boukezzi and S. Otmane and A. Chellali,https://doi.org/10.1109/TVCG.2025.3549547,Synchronous,Co-located: separated by obstacles,2,Asymmetric,Object,Remote expert,VR and screen (3DVE),Performance,Optimizing,Steering,2,Virtual hand(s),Geomagic Touch,Off-the-shelf,Grounded,Hand,Kinesthetic,3,Force,Asymmetric,Unilateral,User,The main contribution of this work is to investigate the effectiveness of augmented feedback in an immersive CVE for transferring technical skills from an expert to a learner.,Study: communication modalities,Feedback,"Haptic, no haptic","Performance: Time, Score, Precision","Workload, Collaboration, Presence, Social presence",IV,"H1. The augmented feedback (either uni or multimodal) received during the training improves the participants’ learning curve in terms of performance measures compared to the control group.
H2. The multimodal augmented feedback (visual-haptic) received during the training improves the participants’ learning curve in terms of performance measures compared to the unimodal (visual-only) augmented feedback.
H3. The augmented feedback (either uni or multimodal) received during the training decreases the participants’ perceived mental workload during the training phase compared to the control group.
H4. The multimodal augmented feedback (visual-haptic) received during the training decreases the participants’ perceived mental workload during the training phase compared to the uni-modal (visual-only) augmented feedback.
H5. The multimodal augmented feedback (visual-haptic) received during the training improves the perceived quality of collaboration between the participants and the instructor during the training phase compared to the uni-modal (visual-only) augmented feed- back.
H6. The improvement in performance between the pre- and post-tests is higher for the augmented feedback (either uni or multimodal) groups compared to the control group.
H7. The improvement in performance between the pre- and post-tests is higher for the multimodal augmented feedback (visual-haptic) group compared to the uni-modal (visual-only) augmented feedback group.",#NAME?,,27,27 participants paired with 1 experimenter,Semi,"""This study evaluated the impact of visual and visual-haptic feedback on the transfer of motor information during tool manipulation in a bimanual task within a collaborative virtual environment. The findings highlight the effectiveness of augmented feedback in enhancing motor performance and learning.""","Performance, Learning","""While visual-haptic feedback did not improve trajectory quality or obstacle avoidance, it significantly reduced cognitive load and enhanced learners’ perceived collaboration with the expert.""",Haptic feedback improves collaborative performance and experiences,"""the impact of such feedback and the different modalities used to communicate it remain underexplored in immersive virtual environments (IVE).""",How participants reach the common ground?,#VALUE!,"how to teach?, extend to AR"
Haptic Designation Tool to Improve Working Strategy in Collaborative Virtual Environment,2015,"Girard, Adrien and Ammi, Mehdi",https://doi.org/10.1109/SMC.2015.235,Synchronous,Co-located,3,Symmetric,Person ,Telepresence,Screen (3DVE),Decision-making,Optimizing,Manipulating object,3,Pointer,Geomagic touch,Off-the-shelf,Grounded,Hand,Kinesthetic,3,Force,Symmetric,Bilateral,User,The paper evaluates a haptic tool for the designation of targets  in a context of collaborative molecular design where one user designates tasks and coordinates the actions of two operators.,Evaluation: interaction technique,Feedback,"Visual, haptic, haptic+visual","Performance: Time, Score
Behavior: Social interaction",Preference,IV,"H1. haptic feedback could play a role in conveying urgency of a user’s desire for control.
H2. haptic icons could be learned to a high degree of accuracy in under 3 min and remained identifiable even under significant cognitive workload",Haptic feedback in the interaction technique improves the communication of collaborative task.,Within,10,30 participants paired together,Yes,"The set of haptic icons developed was
usable, learned within 3 min and identified under workload
with 95% accuracy. In application simulation, users
utilized and responded to the icons appropriately, and task
performance was unaffected in this relatively brief task. Haptic
mediation appears to influence collaborative style, with
increased control turnover and more equitable time-in-
control. Users prefer multimodal feedback","Performance, Haptic communication",Non intrusive communication/express different level of urgency/more fluid collaboration and less frustrating/,Haptic feedback improves collaborative performance and experiences,"limited capacity of off-the-shelf devices (frequency, maplitude, variations). subjective meaning of haptic interaction (is it urgent or not ?). ",not enough features for off-the-shelf haptic device. Haptic interaction is difficult to intepret.,"Possible applications include meeting floor control, team document editing and design reviews, air controller. This deployment of haptic icons can also serve as an indicator of their potential use in non-collaborative situations such as computer-user
communication, where issues like graded levels of interruption and assignment of meaning to background signals also apply.",Testing the system in different applications.
Improvement of collaborative selection in 3D complex environments,2012,"Girard, Adrien and Ammi, Mehdi and Simard, Jean and Auvray, Malika",https://doi.org/10.1109/HAPTIC.2012.6183803,Synchronous,Co-located,3,Asymmetric OR Symmetric,Object,Shared workspace,Screen (3DVE),Creativity,Optimizing,Manipulating object,3,Pointer,"Phantom OR Geomagic (not mentionned, only photo)",Off-the-shelf,Grounded,Hand,Kinesthetic,3,Force,Asymmetry OR Symmetry,Unilateral OR Bilateral,"User, UI","Our work proposes to extend the use of haptic communication functions to 3D environments (i.e., molecular manipulation) presenting different communication constraints (e.g., distance, complexity of the environment).",Evaluation: interaction technique,"Task, Guidance",#NAME?,"Performance: Time, Score, Efficiency
Behavior: Movements, Position, Object manipulation","Performance, Collaboration, Preference",Constant,"H1. The collaborative metaphor will improve the collaborative selection of the same ROI for the redundant working strategy.
H2. The collaborative metaphor will improve the collaborative selection of different ROI for the complementary working strategy.
H3. The learning and understanding of the molecular environment is quicker with the collaborative metaphor.",The collaborative metaphor improves collaboration,,16,32 participants paired together,Semi,"""The experimental results show that the combination of the haptic designation tool and the coordinator-operator working strategy improves the working efficiency and enables a better sharing of the activity between partners.""","Performance, Haptic communication","""we observe that the haptic guidance enables an accurate selection of targets which leads to an improvement of performance during the deformation process.""",Haptic feedback improves collaborative performance and experiences,N/A,N/A,"""Beyond the designation of targets, it would be interesting in future research to investigate collaborative tools for other kind of tasks.""",Explore in different types of task
